Words,Translation,Valence_Mean,ET,Arousal_Mean,ET,Mean,ET,Mean ,ET,Mean ,ET,Mean ,ET
chemisier,blouse,6.32,1.77,4.26,2.64,6.41,1.97,4.82,3.32,6.24,1.64,3.81,1.89
chenille,caterpillar,4.24,2.19,4.14,2.74,4.56,2.23,4.78,2.58,4.06,2.18,3.78,2.80
cheval,horse,6.02,2.13,4.86,2.49,4.83,1.58,4.22,1.83,6.69,2.13,5.22,2.76
cheveux,hair,6.42,2.16,3.89,2.37,6.00,2.06,3.58,2.35,6.76,2.23,4.14,2.41
chèvre,goat,5.31,2.16,3.56,2.72,5.81,1.42,2.94,2.49,4.90,2.57,4.05,2.86
chien,dog,6.71,2.12,4.97,3.08,6.53,2.29,4.65,2.91,6.86,2.01,5.24,3.25
chiffre,number,4.68,1.94,3.81,2.54,5.18,2.19,4.00,2.45,4.25,1.65,3.65,2.66
chignon ,bun,5.19,1.80,3.57,2.22,4.71,1.45,3.12,1.76,5.58,1.99,3.93,2.52
chiot,puppy,7.34,1.78,6.06,2.44,6.39,1.88,4.44,2.43,7.88,1.50,6.97,1.94
chips,potato chip,6.84,1.80,5.03,2.43,6.94,1.78,5.12,2.26,6.75,1.86,4.95,2.63
chocolat,chocolate,7.68,1.39,6.12,2.50,7.22,1.52,5.94,2.69,7.94,1.27,6.22,2.43
chou,cabbage,5.54,2.19,3.73,2.61,5.12,2.12,3.41,2.35,5.90,2.25,4.00,2.85
cicatrice ,scar,2.97,1.86,4.59,2.66,3.41,2.12,5.00,2.42,2.60,1.57,4.25,2.86
ciel,sky,7.11,1.74,4.27,2.67,7.47,1.42,5.24,2.82,6.81,1.96,3.45,2.31
cigale,cicada,5.65,2.37,4.22,2.45,5.71,2.44,4.47,2.40,5.60,2.37,4.00,2.53
cigare,cigar,4.05,2.61,4.86,2.51,4.82,2.56,5.06,2.25,3.40,2.54,4.70,2.75
cigarette,cigarette,3.52,2.68,3.62,2.83,4.22,2.44,5.06,2.69,3.13,2.77,2.81,2.61
cil,eyelash,5.30,1.28,3.36,2.28,5.00,1.24,3.78,2.34,5.47,1.29,3.13,2.25
cintre,coat-hanger,4.65,1.25,2.51,2.12,4.41,1.42,2.65,2.06,4.85,1.09,2.40,2.21
circuit ,circuit,5.49,1.54,4.05,2.54,5.41,0.94,3.41,2.27,5.55,1.93,4.60,2.68
cirque,circus,6.57,2.13,5.57,2.53,7.12,1.76,4.88,2.74,6.10,2.34,6.15,2.25
ciseaux,scissors,4.49,1.54,2.95,2.13,4.41,1.42,2.65,2.00,4.55,1.67,3.20,2.26
cité,city,4.70,1.33,4.47,2.37,4.00,1.87,5.11,3.18,4.79,1.23,4.38,2.25
citoyen,citizen,6.19,1.36,4.23,2.04,5.75,1.49,3.00,2.14,6.24,1.35,4.37,2.00
citron,lemon,4.95,1.99,4.49,2.56,5.35,1.62,4.53,2.62,4.60,2.23,4.45,2.56
citrouille,pumpkin,5.26,1.91,3.37,2.14,4.71,1.83,3.41,1.94,5.71,1.90,3.33,2.33
clair,light,6.83,1.49,3.97,2.06,7.00,1.28,4.42,2.31,6.80,1.53,3.89,2.02
classe,class,5.31,1.56,3.94,2.07,5.33,1.00,4.56,2.19,5.31,1.62,3.85,2.06
classeur ,box file,4.26,1.88,2.71,1.99,4.59,2.03,2.88,1.83,4.00,1.76,2.57,2.13
classique,classic,5.18,1.39,3.35,1.87,5.00,0.93,3.13,1.89,5.20,1.44,3.38,1.88
clef,key,5.62,1.50,3.14,2.14,5.76,1.71,3.53,2.18,5.50,1.32,2.80,2.09
clémence,clemency,6.82,1.73,3.57,2.15,6.67,1.37,3.83,2.52,6.84,1.80,3.52,2.09
cloche,bell,5.16,1.94,3.22,2.29,5.35,2.12,3.71,2.14,5.00,1.81,2.80,2.38
clou,nail,4.26,1.77,3.11,2.19,5.12,1.58,3.59,2.09,3.57,1.63,2.71,2.24
clown,clown,4.55,2.44,4.47,2.90,4.82,2.30,4.53,2.72,4.33,2.58,4.43,3.11
